Date,Description,Amount,Balance,Type,Source,Notes
2025-04-01,Popstand Inc Wire,200.00,,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-01,Popstand Inc Wire,500.00,16306.58,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-02,Google *Gsuite_Fak CC@Google.Com CA,-49.93,,Recurring,043025 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (Google Workspace)
2025-04-02,Zelle to Colato Marvin Notary,-40.00,,Zelle,043025 WellsFargo.pdf,Notary service
2025-04-02,Pwp Ecm A Lega Privacycom,-32.00,16184.65,Privacy.com,043025 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (LegalZoom)
2025-04-03,Stash Financial Stash Subs,-3.00,,ACH,043025 WellsFargo.pdf,Investment
2025-04-03,Freedom Mtg Pymts,-5282.11,10899.54,ACH,043025 WellsFargo.pdf,Mortgage payment
2025-04-04,Popstand Inc Direct Dep,3003.67,,Direct Deposit,043025 WellsFargo.pdf,Popstand payroll
2025-04-04,Nic*Malibu Creek S Calabasas CA,-12.00,,Purchase,043025 WellsFargo.pdf,State park
2025-04-04,Applecard Gsbank Payment,-333.24,13557.97,ACH,043025 WellsFargo.pdf,Apple Card payment
2025-04-07,Claude.Ai Subscrip Anthropic.Com CA,-20.00,,Recurring,043025 WellsFargo.pdf,Personal AI subscription
2025-04-07,Apple.Com/Bill,-10.99,,Recurring,043025 WellsFargo.pdf,
2025-04-07,Geico *Auto,-432.55,,Recurring,043025 WellsFargo.pdf,Auto insurance
2025-04-07,Apple.Com/Bill,-9.99,13084.44,Recurring,043025 WellsFargo.pdf,
2025-04-08,Chevron 0097983 Fillmore CA,-95.65,,Purchase,043025 WellsFargo.pdf,Gas
2025-04-08,The Home Depot #1055 Santa Clarita CA,-587.33,,Purchase,043025 WellsFargo.pdf,
2025-04-08,Wholefds Val 10178 Santa Clarita CA,-41.95,12359.51,Purchase,043025 WellsFargo.pdf,
2025-04-09,Google *Google One,-1.99,,Recurring,043025 WellsFargo.pdf,
2025-04-09,Apple.Com/Bill,-24.98,,Purchase,043025 WellsFargo.pdf,
2025-04-09,Apple.Com/Bill,-3.99,,Purchase,043025 WellsFargo.pdf,
2025-04-09,Pwp Amazon Mktp Privacycom,-29.96,12298.59,Privacy.com,043025 WellsFargo.pdf,
2025-04-10,Primo Brands/Water,-9.64,12288.95,Recurring,043025 WellsFargo.pdf,Water delivery
2025-04-11,Faststop #2 Val Verde CA,-6.78,12282.17,Purchase,043025 WellsFargo.pdf,Gas
2025-04-14,Vons #2442 Fillmore CA,-47.28,,Purchase,043025 WellsFargo.pdf,
2025-04-14,DD *Doordashdashpa Doordash.Com CA,-9.99,,Purchase,043025 WellsFargo.pdf,
2025-04-14,Tesla Subscription Palo Alto CA,-9.99,,Recurring,043025 WellsFargo.pdf,
2025-04-14,Netflix.Com,-24.99,12189.92,Recurring,043025 WellsFargo.pdf,
2025-04-15,Popstand Inc Direct Dep,2629.92,,Direct Deposit,043025 WellsFargo.pdf,Popstand payroll
2025-04-15,ATT* Bill Payment,-160.10,,Recurring,043025 WellsFargo.pdf,Phone bill
2025-04-15,Apple.Com/Bill,-32.97,,Purchase,043025 WellsFargo.pdf,
2025-04-15,Pwp Amazon Mktp Privacycom,-37.47,14589.30,Privacy.com,043025 WellsFargo.pdf,
2025-04-16,Vons #2442 Fillmore CA,-23.58,14565.72,Purchase,043025 WellsFargo.pdf,
2025-04-18,Popstand Inc Wire,1000.00,15565.72,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-21,Zelle From Mark D Cousineau Phones,76.16,,Zelle,043025 WellsFargo.pdf,
2025-04-21,Zelle to Sals Sago Palms,-100.00,15541.88,Zelle,043025 WellsFargo.pdf,
2025-04-22,Popstand Inc Direct Dep,3373.36,,Direct Deposit,043025 WellsFargo.pdf,Popstand payroll
2025-04-22,So Cal Edison CO Bill Paymt,-609.56,18305.68,ACH,043025 WellsFargo.pdf,Electric utility
2025-04-24,Popstand Inc Wire,750.00,19055.68,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-29,Zelle From Thomas Carter,5000.00,,Zelle,043025 WellsFargo.pdf,
2025-04-29,The Home Depot #1055 Santa Clarita CA,-53.31,,Purchase,043025 WellsFargo.pdf,
2025-04-29,The Home Depot #1055 Santa Clarita CA,-543.64,23458.73,Purchase,043025 WellsFargo.pdf,
2025-04-30,Popstand Inc Wire,3000.00,,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-30,Popstand Inc Wire,300.00,,Wire,043025 WellsFargo.pdf,Popstand wire
2025-04-30,Interest Payment,0.13,26758.86,Interest,043025 WellsFargo.pdf,
