Date,Description,Amount,Balance,Type,Source,Notes
2025-01-02,DD *Doordashdashpa WWW.Doordash. CA,-9.99,,Purchase,013125 WellsFargo.pdf,
2025-01-02,Google Gsuite_Fake 650-2530000 CA,-57.60,20668.50,Recurring,013125 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (Google Workspace)
2025-01-03,Vons #2442 Fillmore CA,-14.58,,Purchase,013125 WellsFargo.pdf,
2025-01-03,Stash Financial Stash Subs,-3.00,,ACH,013125 WellsFargo.pdf,Investment
2025-01-03,Pwp Ecm A Lega Privacycom,-32.00,20618.92,Privacy.com,013125 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (LegalZoom)
2025-01-06,Claude.Ai Subscrip Anthropic.Com CA,-20.00,,Recurring,013125 WellsFargo.pdf,Personal AI subscription
2025-01-06,Apple.Com/Bill,-40.98,,Recurring,013125 WellsFargo.pdf,
2025-01-06,The Disney Store # Camarillo CA,-110.44,,Purchase,013125 WellsFargo.pdf,
2025-01-06,Wholefds Oxn #1031 Oxnard CA,-98.18,,Purchase,013125 WellsFargo.pdf,
2025-01-06,Chevron 0097983 Fillmore CA,-95.18,,Purchase,013125 WellsFargo.pdf,Gas
2025-01-06,Apple.Com/Bill,-10.99,20243.15,Recurring,013125 WellsFargo.pdf,
2025-01-07,Vons #2442 Fillmore CA,-62.15,,Purchase,013125 WellsFargo.pdf,
2025-01-07,Apple.Com/Bill,-7.98,,Purchase,013125 WellsFargo.pdf,
2025-01-07,Bmc/So Cal Gas Com,-39.75,,Purchase,013125 WellsFargo.pdf,SoCal Gas utility
2025-01-07,Apple.Com/Bill,-9.99,,Recurring,013125 WellsFargo.pdf,
2025-01-07,Freedom Mtg Pymts,-5282.11,,ACH,013125 WellsFargo.pdf,Mortgage payment
2025-01-07,Applecard Gsbank Payment,-333.16,14508.01,ACH,013125 WellsFargo.pdf,Apple Card payment
2025-01-08,City of Fillmore,-450.33,,Purchase,013125 WellsFargo.pdf,Utility
2025-01-08,City of Fillmore,-85.41,13972.27,Purchase,013125 WellsFargo.pdf,Utility
2025-01-09,Google *Google One,-1.99,13970.28,Recurring,013125 WellsFargo.pdf,
2025-01-13,Tesla Subscription Palo Alto CA,-9.99,,Recurring,013125 WellsFargo.pdf,
2025-01-13,Netflix.Com,-22.99,13937.30,Recurring,013125 WellsFargo.pdf,
2025-01-15,Popstand Inc Wire,1000.00,,Wire,013125 WellsFargo.pdf,Popstand wire
2025-01-15,Apple.Com/Bill,-7.98,,Purchase,013125 WellsFargo.pdf,
2025-01-15,ATT* Bill Payment,-159.18,,Recurring,013125 WellsFargo.pdf,Phone bill
2025-01-15,Ikea Burbank Rest Burbank CA,-22.60,,Purchase,013125 WellsFargo.pdf,
2025-01-15,Wholefds Val 10178 Santa Clarita CA,-56.46,,Purchase,013125 WellsFargo.pdf,
2025-01-15,So Cal Edison CO Bill Paymt,-889.12,13801.96,ACH,013125 WellsFargo.pdf,Electric utility
2025-01-17,4Te*Culligan of Ve,-209.00,,Recurring,013125 WellsFargo.pdf,Water softener service
2025-01-17,Framer.Com Amsterdam,-40.00,,Recurring,013125 WellsFargo.pdf,Design tool subscription
2025-01-17,Target T-0883 Pasadena CA,-91.93,13461.03,Purchase,013125 WellsFargo.pdf,
2025-01-21,Airbnb * Hmd5Qzr2P (Return),274.59,,Refund,013125 WellsFargo.pdf,Airbnb refund
2025-01-21,Zelle From Laura Jean Cousineau,75.50,,Zelle,013125 WellsFargo.pdf,
2025-01-21,Airbnb * Hmd5Qzr2P,-316.19,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Wholefds Arr 10237 Pasadena CA,-185.54,,Purchase,013125 WellsFargo.pdf,
2025-01-21,City Pasadena Pasadena CA,-3.00,,Purchase,013125 WellsFargo.pdf,Parking
2025-01-21,Erewhon Pasadena Pasadena CA,-39.79,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Arco42430001 Fillmore CA,-89.17,,Purchase,013125 WellsFargo.pdf,Gas
2025-01-21,Uber *Eats Help.Uber.Com CA,-31.68,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Ic* Instacart*Subs,-99.00,,Recurring,013125 WellsFargo.pdf,Instacart subscription
2025-01-21,Apple.Com/Bill,-2.99,,Recurring,013125 WellsFargo.pdf,
2025-01-21,Uber *Eats Help.Uber.Com CA,-26.90,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Uber *Eats Help.Uber.Com CA,-9.03,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Pablochat Discord.Gg/Qy CA,-20.00,,Recurring,013125 WellsFargo.pdf,AUTOMATIQUE (Discord service)
2025-01-21,Wholefds Val 10178 Santa Clarita CA,-17.63,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Sq *Wanderlust Cre Los Angeles CA,-14.95,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Tesla Supercharger,-13.24,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Erewhon Los Angeles CA,-59.74,,Purchase,013125 WellsFargo.pdf,
2025-01-21,Pwp Amazon Mktp Privacycom,-6.42,,Privacy.com,013125 WellsFargo.pdf,
2025-01-21,Pwp Amazon Mktp Privacycom,-53.61,12822.24,Privacy.com,013125 WellsFargo.pdf,
2025-01-22,P1 Lax Smartparkin Los Angeles CA,-9.00,,Purchase,013125 WellsFargo.pdf,Airport parking
2025-01-22,DD *Doordashdashpa WWW.Doordash. CA,-9.99,,Purchase,013125 WellsFargo.pdf,
2025-01-22,422 Lush Glendale Glendale CA,-57.32,,Purchase,013125 WellsFargo.pdf,
2025-01-22,Wholefds Val 10178 Santa Clarita CA,-8.16,12737.77,Purchase,013125 WellsFargo.pdf,
2025-01-23,Tst*Bacari - Glend Glendale CA,-49.36,,Purchase,013125 WellsFargo.pdf,
2025-01-23,Airbnb * Hmedm3Jjp,-291.00,,Purchase,013125 WellsFargo.pdf,
2025-01-23,Vons #2442 Fillmore CA,-62.79,12334.62,Purchase,013125 WellsFargo.pdf,
2025-01-24,Tesla Supercharger,-12.24,,Purchase,013125 WellsFargo.pdf,
2025-01-24,Wholefds Gln 10179 Glendale CA,-102.69,12219.69,Purchase,013125 WellsFargo.pdf,
2025-01-27,Apple.Com/Bill,-43.96,,Purchase,013125 WellsFargo.pdf,
2025-01-27,Apple.Com/Bill,-6.99,,Recurring,013125 WellsFargo.pdf,
2025-01-27,Uber *Eats Help.Uber.Com CA,-69.84,,Purchase,013125 WellsFargo.pdf,
2025-01-27,Google *Youtubepre,-13.99,,Recurring,013125 WellsFargo.pdf,YouTube Premium
2025-01-27,Playstation Networ,-14.99,,Recurring,013125 WellsFargo.pdf,PlayStation subscription
2025-01-27,Intuit *Qbooks Onl,-140.00,,Recurring,013125 WellsFargo.pdf,QuickBooks subscription
2025-01-27,Uber *Eats Help.Uber.Com CA,-85.95,,Purchase,013125 WellsFargo.pdf,
2025-01-27,Spotify USA,-19.99,11823.98,Recurring,013125 WellsFargo.pdf,
2025-01-28,Popstand Inc Direct Dep,4453.19,16277.17,Direct Deposit,013125 WellsFargo.pdf,Popstand payroll
2025-01-29,Airbnb * Hmbcatyq2,-291.00,15986.17,Purchase,013125 WellsFargo.pdf,
2025-01-30,Vons #2442 Fillmore CA,-47.76,,Purchase,013125 WellsFargo.pdf,
2025-01-30,Wholefds Val 10178 Santa Clarita CA,-9.91,,Purchase,013125 WellsFargo.pdf,
2025-01-30,7-Eleven Fillmore CA,-10.38,15918.12,Purchase,013125 WellsFargo.pdf,
2025-01-31,Apple.Com/Bill,-30.98,,Purchase,013125 WellsFargo.pdf,
2025-01-31,Wholefds Val 10178 Santa Clarita CA,-19.37,,Purchase,013125 WellsFargo.pdf,
2025-01-31,Interest Payment,0.13,15867.90,Interest,013125 WellsFargo.pdf,
