Date,Description,Amount,Balance,Type,Source,Notes
2025-06-02,Apple.Com/Bill,-54.99,,Purchase,063025 WellsFargo.pdf,
2025-06-02,Pwp Ecm A Lega Privacycom,-32.00,25135.37,Privacy.com,063025 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (LegalZoom)
2025-06-03,Stash Financial Stash Subs,-3.00,25132.37,ACH,063025 WellsFargo.pdf,Investment
2025-06-04,Popstand Inc Wire,750.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-04,Bank of America P2P Kevin A Donovan,4000.00,,P2P,063025 WellsFargo.pdf,
2025-06-04,Freedom Mtg Pymts,-4502.67,25379.70,ACH,063025 WellsFargo.pdf,Mortgage payment
2025-06-05,Tesla Supercharger,-18.23,25361.47,Purchase,063025 WellsFargo.pdf,
2025-06-06,Stable Usestable.Com CA,-24.50,25336.97,Recurring,063025 WellsFargo.pdf,
2025-06-09,Tesla Supercharger,-6.57,,Purchase,063025 WellsFargo.pdf,
2025-06-09,Tesla Supercharger,-14.65,,Purchase,063025 WellsFargo.pdf,
2025-06-09,Google *Google One,-1.99,,Recurring,063025 WellsFargo.pdf,
2025-06-09,Zelle to Arman Automotive Services,-1600.00,,Zelle,063025 WellsFargo.pdf,
2025-06-09,Cash eWithdrawal IN Branch Fillmore CA,-6700.00,17013.76,Cash,063025 WellsFargo.pdf,
2025-06-12,Service Fee LA County,-21.00,,Purchase,063025 WellsFargo.pdf,Property tax fee
2025-06-12,LA County Ttc Pay,-945.87,,Purchase,063025 WellsFargo.pdf,Property tax
2025-06-12,Tesla Subscription Palo Alto CA,-9.99,16036.90,Recurring,063025 WellsFargo.pdf,
2025-06-13,Popstand Inc Wire,250.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-13,Netflix.Com,-24.99,,Recurring,063025 WellsFargo.pdf,
2025-06-13,Apple.Com/Bill,-99.99,16161.92,Purchase,063025 WellsFargo.pdf,
2025-06-16,ATT* Bill Payment,-187.90,15974.02,Recurring,063025 WellsFargo.pdf,Phone bill
2025-06-17,Popstand Inc Wire,1250.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-17,Tesla Supercharger,-8.77,,Purchase,063025 WellsFargo.pdf,
2025-06-17,Zelle to Crow Automotive,-1609.01,,Zelle,063025 WellsFargo.pdf,
2025-06-17,Pwp Amazon Mktp Privacycom,-419.03,15187.21,Privacy.com,063025 WellsFargo.pdf,
2025-06-18,So Cal Edison CO Bill Paymt,-515.20,14672.01,ACH,063025 WellsFargo.pdf,Electric utility
2025-06-20,Zelle From Mark D Cousineau Phones,94.32,,Zelle,063025 WellsFargo.pdf,
2025-06-20,Popstand Inc Wire,4000.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-20,Apple.Com/Bill,-2.99,,Recurring,063025 WellsFargo.pdf,
2025-06-20,ATM Withdrawal Fillmore CA,-1300.00,,Cash,063025 WellsFargo.pdf,
2025-06-20,Pwp Amazon Mktp Privacycom,-110.42,17352.92,Privacy.com,063025 WellsFargo.pdf,
2025-06-23,Zelle From Thomas Carter,5000.00,,Zelle,063025 WellsFargo.pdf,
2025-06-23,Pablochat Discord.Gg/Qy CA,-20.00,,Recurring,063025 WellsFargo.pdf,AUTOMATIQUE (Discord service)
2025-06-23,Zelle to Crow Fuel,-50.00,,Zelle,063025 WellsFargo.pdf,
2025-06-23,Zelle to Crow Rubber,-500.00,21782.92,Zelle,063025 WellsFargo.pdf,
2025-06-24,Tesla Supercharger,-8.42,,Purchase,063025 WellsFargo.pdf,
2025-06-24,Apple.Com/Bill,-19.98,,Purchase,063025 WellsFargo.pdf,
2025-06-24,Wholefds Prr#10695 Porter Ranch CA,-42.04,21712.48,Purchase,063025 WellsFargo.pdf,
2025-06-26,Popstand Inc Wire,3000.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-26,Pwp Amazon.Com* Privacycom,-13.92,,Privacy.com,063025 WellsFargo.pdf,
2025-06-26,Pwp Amazon Mktp Privacycom,-9.64,,Privacy.com,063025 WellsFargo.pdf,
2025-06-26,Pwp Amazon Mktp Privacycom,-9.81,,Privacy.com,063025 WellsFargo.pdf,
2025-06-26,Pwp Amazon Mktp Privacycom,-34.31,24644.80,Privacy.com,063025 WellsFargo.pdf,
2025-06-30,Popstand Inc Wire,2500.00,,Wire,063025 WellsFargo.pdf,Popstand wire
2025-06-30,Interest Payment,0.17,27144.97,Interest,063025 WellsFargo.pdf,
