Date,Description,Amount,Balance,Type,Source,Notes
2025-07-01,Tesla Supercharger,-6.54,27138.43,Purchase,073125 WellsFargo.pdf,
2025-07-02,Pwp Ecm A Lega Privacycom,-32.00,27106.43,Privacy.com,073125 WellsFargo.pdf,DUPLICATE - AUTOMATIQUE (LegalZoom)
2025-07-03,City of Fillmore,-320.45,,Purchase,073125 WellsFargo.pdf,Utility
2025-07-03,City of Fillmore,-63.59,,Purchase,073125 WellsFargo.pdf,Utility
2025-07-03,Santa Clara Valley,-206.63,,Purchase,073125 WellsFargo.pdf,
2025-07-03,Stash Financial Stash Subs,-3.00,26512.76,ACH,073125 WellsFargo.pdf,Investment
2025-07-07,Stable Usestable.Com CA,-24.50,,Recurring,073125 WellsFargo.pdf,
2025-07-07,Lowes Brc Syf Paymnt Popstand Inc,-1800.00,,ACH,073125 WellsFargo.pdf,Lowe's credit payment
2025-07-07,Pwp Amazon Mktp Privacycom,-170.53,,Privacy.com,073125 WellsFargo.pdf,
2025-07-07,Pwp Amazon Mktp Privacycom,-279.95,,Privacy.com,073125 WellsFargo.pdf,
2025-07-07,Freedom Mtg Pymts,-4502.67,19735.11,ACH,073125 WellsFargo.pdf,Mortgage payment
2025-07-08,Zelle From Thomas Carter,5000.00,,Zelle,073125 WellsFargo.pdf,
2025-07-08,Tesla Supercharger,-9.27,24725.84,Purchase,073125 WellsFargo.pdf,
2025-07-09,Google One,-1.99,,Recurring,073125 WellsFargo.pdf,
2025-07-09,Tesla Supercharger,-5.94,,Purchase,073125 WellsFargo.pdf,
2025-07-09,Tesla Supercharger,-14.00,24703.91,Purchase,073125 WellsFargo.pdf,
2025-07-11,Popstand Inc Wire,4000.00,28703.91,Wire,073125 WellsFargo.pdf,Popstand wire
2025-07-14,Playstation Networ,-69.99,,Purchase,073125 WellsFargo.pdf,PlayStation
2025-07-14,Tesla Subscription Palo Alto CA,-9.99,,Recurring,073125 WellsFargo.pdf,
2025-07-14,Netflix.Com,-24.99,,Recurring,073125 WellsFargo.pdf,
2025-07-14,Tesla Supercharger,-13.90,28585.04,Purchase,073125 WellsFargo.pdf,
2025-07-15,Apple.Com/Bill,-24.99,,Purchase,073125 WellsFargo.pdf,
2025-07-15,ATT* Bill Payment,-187.90,28372.15,Recurring,073125 WellsFargo.pdf,Phone bill
2025-07-16,Apple.Com/Bill,-99.99,28272.16,Purchase,073125 WellsFargo.pdf,
2025-07-17,Pwp Amazon Mktp Privacycom,-37.53,28234.63,Privacy.com,073125 WellsFargo.pdf,
2025-07-18,Primo Brands/Water,-104.19,,Recurring,073125 WellsFargo.pdf,Water delivery
2025-07-18,Pwp Blink Privacycom,-10.00,28120.44,Privacy.com,073125 WellsFargo.pdf,
2025-07-21,Zelle From Mark D Cousineau Phone Bill,94.32,,Zelle,073125 WellsFargo.pdf,
2025-07-21,Apple.Com/Bill,-2.99,28211.77,Recurring,073125 WellsFargo.pdf,
2025-07-23,Pablochat Discord.Gg/Qy CA,-20.00,28191.77,Recurring,073125 WellsFargo.pdf,AUTOMATIQUE (Discord service)
2025-07-25,Apple.Com/Bill,-24.99,,Recurring,073125 WellsFargo.pdf,
2025-07-25,Tesla Supercharger,-9.00,28157.78,Purchase,073125 WellsFargo.pdf,
2025-07-28,Popstand Inc Direct Dep,3736.11,,Direct Deposit,073125 WellsFargo.pdf,Popstand payroll
2025-07-28,Tesla Supercharger,-9.49,,Purchase,073125 WellsFargo.pdf,
2025-07-28,Apple.Com/Bill,-19.99,,Purchase,073125 WellsFargo.pdf,
2025-07-28,Tesla Supercharger,-6.73,,Purchase,073125 WellsFargo.pdf,
2025-07-28,Tesla Diner,-17.56,,Purchase,073125 WellsFargo.pdf,
2025-07-28,Tesla Supercharger,-14.05,31826.07,Purchase,073125 WellsFargo.pdf,
2025-07-29,Price Ford Simi Valley CA,-7800.00,,Purchase,073125 WellsFargo.pdf,Car purchase
2025-07-29,Zelle to Crow,-200.00,23826.07,Zelle,073125 WellsFargo.pdf,
2025-07-31,Popstand Inc Wire,750.00,,Wire,073125 WellsFargo.pdf,Popstand wire
2025-07-31,Interest Payment,0.23,24576.30,Interest,073125 WellsFargo.pdf,
