Date,Description,Amount,Balance,Type,Source,Notes
2024-01-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-02-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-02-01,GOOGLE GSUITE_automatique,-5.57,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-03-01,ECM A LEGALZOOM CO.,-30.50,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-03-01,GOOGLE GSUITE_automatique,-28.80,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-04-01,ECM A LEGALZOOM CO.,-30.50,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-04-01,GOOGLE GSUITE_automatique,-29.95,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-05-01,ECM A LEGALZOOM CO.,-30.50,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-05-01,GOOGLE GSUITE_automatique,-42.72,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-06-01,ECM A LEGALZOOM CO.,-30.50,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-06-01,GOOGLE GSUITE_automatique,-45.35,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-07-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-07-01,GOOGLE GSUITE_automatique,-43.20,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-08-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-08-28,GOOGLE GSUITE_automatique,-45.51,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-09-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-09-01,GOOGLE GSUITE_automatique,-47.12,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Google Workspace (card 3387)
2024-10-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-11-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2024-12-01,ECM A LEGALZOOM CO.,-32.00,,Privacy.com,Privacy.com Statement 2024-01-01 - 2024-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
