Date,Description,Amount,Balance,Type,Source,Notes
2023-12-01,Apple.Com/Bill,-74.99,,Debit,123123 WellsFargo.pdf,Apple Services
2023-12-01,Sp Rancho LA Casa,-643.50,,Debit,123123 WellsFargo.pdf,
2023-12-01,Doordash Dashpass,-9.99,,Debit,123123 WellsFargo.pdf,Subscription - Food Delivery
2023-12-01,Tesla,-250.00,,Debit,123123 WellsFargo.pdf,Tesla Purchase/Service
2023-12-01,Tesla,-250.00,,Debit,123123 WellsFargo.pdf,Tesla Purchase/Service
2023-12-01,Pwp Twitter Pai Privacycom,-8.00,,Debit,123123 WellsFargo.pdf,DUPLICATE - Dev Tools Twitter/X API
2023-12-01,Pwp Sentry Privacycom,-29.00,,Debit,123123 WellsFargo.pdf,DUPLICATE - Error Tracking
2023-12-01,Pwp Bitrise Lim Privacycom,-71.07,,Debit,123123 WellsFargo.pdf,DUPLICATE - CI/CD Bitrise
2023-12-01,Mortgage Serv CT Mtg Paymt,-4353.67,251306.00,Debit,123123 WellsFargo.pdf,Mortgage Payment
2023-12-04,Apple.Com/Bill,-18.99,,Debit,123123 WellsFargo.pdf,Apple Services
2023-12-04,AMC 4147 Thousand Oaks,-62.68,,Debit,123123 WellsFargo.pdf,Entertainment - Movies
2023-12-04,Google *Gsuite_Fak CC,-94.32,,Debit,123123 WellsFargo.pdf,Business - Google Workspace
2023-12-04,LA Arboretum,-66.00,,Debit,123123 WellsFargo.pdf,Entertainment
2023-12-04,LA Arboretum,-15.00,,Debit,123123 WellsFargo.pdf,Entertainment
2023-12-04,Sq *The Fresh Gour Arcadia,-20.95,,Debit,123123 WellsFargo.pdf,Food
2023-12-04,Sq *Peacock Cafe A Arcadia,-19.84,,Debit,123123 WellsFargo.pdf,Food - Coffee
2023-12-04,Uber Eats,-70.32,,Debit,123123 WellsFargo.pdf,Food Delivery
2023-12-04,SSA Los Angeles Zoo,-26.24,,Debit,123123 WellsFargo.pdf,Entertainment - LA Zoo
