Date,Description,Amount,Balance,Type,Source,Notes
2023-11-01,Doordash Dashpass,-9.99,,Debit,113023 WellsFargo.pdf,Subscription - Food Delivery
2023-11-01,Sp Mudmixer Shop.Mudmixer TX,-3437.14,,Debit,113023 WellsFargo.pdf,
2023-11-01,Pwp Twitter Pai Privacycom,-8.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Dev Tools Twitter/X API
2023-11-01,Pwp Chatgpt Sub Privacycom,-20.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - AI Tools ChatGPT
2023-11-01,Pwp Google*Doma Privacycom,-24.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Domains
2023-11-01,Pwp Sentry Privacycom,-29.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Error Tracking
2023-11-01,Pwp Amazon.Com* Privacycom,-61.20,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-01,Pwp Dnh*Godaddy Privacycom,-64.34,,Debit,113023 WellsFargo.pdf,DUPLICATE - Domains GoDaddy
2023-11-01,Mortgage Serv CT Mtg Paymt,-4353.67,272141.03,Debit,113023 WellsFargo.pdf,Mortgage Payment
2023-11-02,Google*Gsuite Fake CC,-93.60,,Debit,113023 WellsFargo.pdf,Business - Google Workspace
2023-11-02,Pwp Amzn Mktp U Privacycom,-5.33,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-02,Pwp Amzn Mktp U Privacycom,-14.96,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-02,Pwp Ecm A Lega Privacycom,-29.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Legal Service
2023-11-02,Pwp Amzn Mktp U Privacycom,-40.50,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-02,Pwp Quicknode Privacycom,-49.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Blockchain API
2023-11-02,Pwp Amzn Mktp U Privacycom,-64.34,271844.30,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-03,Ikea Burbank,-460.25,,Debit,113023 WellsFargo.pdf,Home/Furniture
2023-11-03,Zelle to Lawn Ramon - Lawn,-200.00,,Debit,113023 WellsFargo.pdf,Lawn Service
2023-11-03,Pwp Google Clou Privacycom,-0.37,,Debit,113023 WellsFargo.pdf,DUPLICATE - Hosting Google Cloud
2023-11-03,Pwp Elevenlabs. Privacycom,-99.00,271084.68,Debit,113023 WellsFargo.pdf,DUPLICATE - AI Tools ElevenLabs
2023-11-06,Pwp Amzn Mktp U Privacycom,20.00,,Credit,113023 WellsFargo.pdf,DUPLICATE - Amazon Refund
2023-11-06,Pwp Amzn Mktp U Privacycom,-355.18,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-06,Chipotle Online,-228.55,,Debit,113023 WellsFargo.pdf,Food - Large Order
2023-11-06,Tst* Nothing Bundt Ventura CA,-54.50,,Debit,113023 WellsFargo.pdf,Food
2023-11-06,Wholefds Val 10178 Santa Clarita,-66.58,,Debit,113023 WellsFargo.pdf,Groceries
2023-11-06,Chipotle Online,-29.26,,Debit,113023 WellsFargo.pdf,Food
2023-11-06,Target 0002 Oxnard,-43.69,,Debit,113023 WellsFargo.pdf,Shopping
2023-11-06,Wholefds Oxn #1031 Oxnard,-127.25,,Debit,113023 WellsFargo.pdf,Groceries
2023-11-06,Chipotle 3640 Moorpark,-2.95,,Debit,113023 WellsFargo.pdf,Food
2023-11-06,Target 0001 Moorpark,-85.89,,Debit,113023 WellsFargo.pdf,Shopping
2023-11-06,Uber Eats,-88.65,,Debit,113023 WellsFargo.pdf,Food Delivery
2023-11-06,Pwp Amazon Web Privacycom,-1.09,,Debit,113023 WellsFargo.pdf,DUPLICATE - Hosting AWS
2023-11-06,Pwp Midjourney Privacycom,-60.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - AI Tools Midjourney
2023-11-06,Venmo Payment Jojo McFly,-150.00,270521.45,Debit,113023 WellsFargo.pdf,Venmo
2023-11-07,Tesla Inc Supercharger,-4.83,,Debit,113023 WellsFargo.pdf,Auto - Electric Charging
2023-11-07,Geico *Auto,-306.45,,Debit,113023 WellsFargo.pdf,Auto Insurance
2023-11-07,Pwp Dnh*Godaddy Privacycom,-22.17,,Debit,113023 WellsFargo.pdf,DUPLICATE - Domains GoDaddy
2023-11-07,Pwp Amzn Mktp U Privacycom,-30.66,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-07,Pwp Amzn Mktp U Privacycom,-31.09,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-07,Pwp Santa Clara Privacycom,-99.38,,Debit,113023 WellsFargo.pdf,DUPLICATE - Santa Clara County
2023-11-07,So Cal Gas Paid,-156.30,269870.57,Debit,113023 WellsFargo.pdf,Utilities - Gas
2023-11-08,Apple.Com/Bill,-19.99,,Debit,113023 WellsFargo.pdf,Apple Services
2023-11-08,Apple.Com/Bill,-6.99,,Debit,113023 WellsFargo.pdf,Apple Services
2023-11-08,Sunbelt Rentals #1 Fillmore,-1600.00,,Debit,113023 WellsFargo.pdf,Equipment Rental
2023-11-08,Pwp Amzn Mktp U Privacycom,-11.79,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-08,Pwp City of Fil Privacycom,-338.66,267893.14,Debit,113023 WellsFargo.pdf,DUPLICATE - City of Fillmore Utilities
2023-11-09,Google *Google Store,-1.99,,Debit,113023 WellsFargo.pdf,Google
2023-11-09,Pwp Netflix.Com Privacycom,-15.49,,Debit,113023 WellsFargo.pdf,DUPLICATE - Streaming Netflix
2023-11-09,Pwp Amzn Mktp U Privacycom,-24.12,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-09,Pwp Heroku* Oct Privacycom,-65.85,,Debit,113023 WellsFargo.pdf,DUPLICATE - Hosting Heroku
2023-11-09,Pwp City of Fil Privacycom,-116.51,267669.18,Debit,113023 WellsFargo.pdf,DUPLICATE - City of Fillmore Utilities
2023-11-10,Sq *Santa Paula MA,-2750.03,,Debit,113023 WellsFargo.pdf,
2023-11-10,Tesla Inc Supercharger,-9.25,,Debit,113023 WellsFargo.pdf,Auto - Electric Charging
2023-11-10,Tesla Inc Supercharger,-26.46,264883.44,Debit,113023 WellsFargo.pdf,Auto - Electric Charging
2023-11-13,Sunbelt Rentals #1 Fillmore,902.20,,Credit,113023 WellsFargo.pdf,Equipment Rental Refund
2023-11-13,Tst* Tsujita LA AR Los Angeles,-47.78,,Debit,113023 WellsFargo.pdf,Food - Restaurant
2023-11-13,Beard Papa's West Los Angeles,-4.50,,Debit,113023 WellsFargo.pdf,Food
2023-11-13,Sq *Blue Bottle CO Los Angeles,-14.66,,Debit,113023 WellsFargo.pdf,Food - Coffee
2023-11-13,Apple.Com/Bill,-74.99,,Debit,113023 WellsFargo.pdf,Apple Services
2023-11-13,Erewhon Los Angeles,-85.16,,Debit,113023 WellsFargo.pdf,Groceries
2023-11-13,Tesla,-9.99,,Debit,113023 WellsFargo.pdf,Tesla Subscription
2023-11-13,Apple.Com/Bill,-11.97,,Debit,113023 WellsFargo.pdf,Apple Services
2023-11-13,Uber Eats,-59.20,,Debit,113023 WellsFargo.pdf,Food Delivery
2023-11-13,Pwp Microsoft#G Privacycom,-1.22,,Debit,113023 WellsFargo.pdf,DUPLICATE - Microsoft
2023-11-13,Pwp Twitter Pai Privacycom,-8.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Dev Tools Twitter/X API
2023-11-13,Pwp Google *Dom Privacycom,-14.40,,Debit,113023 WellsFargo.pdf,DUPLICATE - Domains
2023-11-13,Pwp Openrouter Privacycom,-20.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - AI Tools OpenRouter
2023-11-13,Pwp Github Inc Privacycom,-24.00,,Debit,113023 WellsFargo.pdf,DUPLICATE - Dev Tools GitHub
2023-11-13,Pwp Amazon.Com* Privacycom,-129.30,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-13,Stash Capital S ACH,-3.00,265277.47,Debit,113023 WellsFargo.pdf,Investment
2023-11-14,Gelson's Markets Valley Village,-41.41,,Debit,113023 WellsFargo.pdf,Groceries
2023-11-14,Tuff Shed 999,-3332.49,,Debit,113023 WellsFargo.pdf,Home Improvement - Shed
2023-11-14,Ikea 446063464,-220.44,,Debit,113023 WellsFargo.pdf,Home/Furniture
2023-11-14,Zelle to Damian - Hot Tub Wiring,-870.00,,Debit,113023 WellsFargo.pdf,Home Improvement - Electrical
2023-11-14,Pwp Amzn Mktp U Privacycom,-13.93,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-14,Pwp Dnh*Godaddy Privacycom,-22.17,260777.03,Debit,113023 WellsFargo.pdf,DUPLICATE - Domains GoDaddy
2023-11-15,Ikea 446063464,220.44,,Credit,113023 WellsFargo.pdf,Home/Furniture Refund
2023-11-15,Nft Genius Inc Payroll,5227.83,,Credit,113023 WellsFargo.pdf,INCOME - W2 Payroll NFT Genius
2023-11-15,ATT* Bill Payment,-213.17,,Debit,113023 WellsFargo.pdf,Utilities - Phone
2023-11-15,Canteen Vend2 1800 Hunt Valley,-2.25,,Debit,113023 WellsFargo.pdf,Vending
2023-11-15,Ikea Burbank,-55.07,,Debit,113023 WellsFargo.pdf,Home/Furniture
2023-11-15,Laz Parking 670154 Los Angeles,-15.00,,Debit,113023 WellsFargo.pdf,Parking
2023-11-15,Pwp Amzn Mktp U Privacycom,-13.93,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-15,Pwp Amazon.Com* Privacycom,-67.71,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-15,Pwp Amzn Mktp U Privacycom,-340.86,265517.31,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
2023-11-16,Pressed Juicery Los Angeles,-7.70,,Debit,113023 WellsFargo.pdf,Food
2023-11-16,Blue Ribbon Sushi Los Angeles,-190.98,,Debit,113023 WellsFargo.pdf,Food - Restaurant
2023-11-16,Wholefds Hol 10109 West Hollywood,-9.98,,Debit,113023 WellsFargo.pdf,Groceries
2023-11-16,IN *Prime Accounti,-154.50,,Debit,113023 WellsFargo.pdf,Professional Services - Accounting
2023-11-16,Pwp Amzn Mktp U Privacycom,-9.22,,Debit,113023 WellsFargo.pdf,DUPLICATE - Amazon
