Date,Description,Amount,Balance,Type,Source,Notes
2023-02-01,Gusto Pay Kurt Braget,1250.00,,Credit,022823 WellsFargo.pdf,Income - Gusto
2023-02-01,Pwp Github,-10.00,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE - Dev Tools
2023-02-01,Pwp Amazon.Com*,-161.86,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-01,Mortgage Serv CT Mtg Paymt,-5000.00,320451.41,Debit,022823 WellsFargo.pdf,Mortgage Payment
2023-02-02,Uber Eats,-91.12,,Debit,022823 WellsFargo.pdf,Food - Delivery
2023-02-02,Pasadena Parking,-10.50,,Debit,022823 WellsFargo.pdf,Parking
2023-02-02,Wholefds Arr 10237,-103.77,,Debit,022823 WellsFargo.pdf,Groceries - Whole Foods
2023-02-02,Pwp Amazon Tips,-7.00,320239.02,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-03,Apple.Com/Bill,-74.99,,Debit,022823 WellsFargo.pdf,Apple Services
2023-02-03,Pwp Amazon.Com*,-51.72,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-03,So Cal Gas,-85.16,320027.15,Debit,022823 WellsFargo.pdf,Utilities - Gas
2023-02-06,WT Fed Popstand Inc,2500.00,,Credit,022823 WellsFargo.pdf,Income - Popstand Wire
2023-02-06,Wire Trans Svc Charge,-15.00,,Debit,022823 WellsFargo.pdf,Bank Fee - Wire Transfer
2023-02-06,Sp Vapor95,-57.94,,Debit,022823 WellsFargo.pdf,Shopping
2023-02-06,Sp Apt. Skate Shop,-228.27,,Debit,022823 WellsFargo.pdf,Shopping - Clothing
2023-02-06,Apple.Com/Bill,-14.99,,Debit,022823 WellsFargo.pdf,Apple Services
2023-02-06,Miyabi Uni Torrance,-174.90,,Debit,022823 WellsFargo.pdf,Food - Restaurant
2023-02-06,Apple.Com/Bill,-74.99,,Debit,022823 WellsFargo.pdf,Apple Services
2023-02-06,Tesla Inc Supercha,-10.54,,Debit,022823 WellsFargo.pdf,Auto - Tesla Supercharger
2023-02-06,Apple.Com/Bill,-15.98,,Debit,022823 WellsFargo.pdf,Apple Services
2023-02-06,Laz Parking 670600,-10.00,,Debit,022823 WellsFargo.pdf,Parking
2023-02-06,Wholefds Arr 10237,-95.15,,Debit,022823 WellsFargo.pdf,Groceries - Whole Foods
2023-02-06,Pwp Amazon Tips,-7.00,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Pwp Amzn Mktp U,-9.11,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Pwp Amazon.Com*,-37.80,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Pwp Amazon.Com*,-52.62,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Pwp Amzn Mktp U,-80.37,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Venmo Payment Kurty McFly,-100.00,,Debit,022823 WellsFargo.pdf,Venmo
2023-02-06,Pwp Amzn Mktp U,-108.41,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Pwp Amazon.Com*,-155.56,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
2023-02-06,Check 4633,-3383.06,317895.46,Debit,022823 WellsFargo.pdf,Check
2023-02-07,Pasadena Parking,-3.00,,Debit,022823 WellsFargo.pdf,Parking
2023-02-07,Tst* Sushi Roku,-148.12,,Debit,022823 WellsFargo.pdf,Food - Restaurant
2023-02-07,Tst* Yifang Fruit,-6.09,,Debit,022823 WellsFargo.pdf,Food
2023-02-07,Neon Retro Arcade,-30.00,,Debit,022823 WellsFargo.pdf,Entertainment - Arcade
2023-02-07,Neon Retro Arcade,-4.00,,Debit,022823 WellsFargo.pdf,Entertainment - Arcade
2023-02-07,Pasadena Parking,-9.00,,Debit,022823 WellsFargo.pdf,Parking
2023-02-07,Geico *Auto,-290.53,,Debit,022823 WellsFargo.pdf,Auto Insurance
2023-02-07,Sq *Wanderlust Cre,-14.50,,Debit,022823 WellsFargo.pdf,Shopping
2023-02-07,Pwp Google*Doma,-24.00,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE - Domains
2023-02-07,Pwp Amzn Mktp U,-63.81,,Debit,022823 WellsFargo.pdf,Privacy.com - DUPLICATE
