Order Date,Product Name,Price,Invoice Link,Business,Notes
2024-01-01,Dr. Martens Unisex Embury Chelsea Boot Black Wyoming 12 Women/11 Men,129.99,https://www.amazon.com/gp/css/summary/print.html?orderID=112-0895188-0093834,N,Personal - clothing
2024-01-01,iBetterLife Razor Holder for Shower Hooks – 6Pcs Self Adhesive Wall Mounted Single Hook,9.99,https://www.amazon.com/gp/css/summary/print.html?orderID=112-8081602-9161848,N,Personal - bathroom
2024-01-01,Peavey KB 1 20-Watt 1x8 Keyboard Amp (Used - Very Good),159.00,https://www.amazon.com/gp/css/summary/print.html?orderID=112-2870764-3147418,?,Audio equipment - confirm if business use
2024-01-02,Fast Charger for iPhone 15 3Pack USB C iPad Charger PD Fast Charger Block 6FT Long,23.99,https://www.amazon.com/gp/css/summary/print.html?orderID=112-5087159-1845807,Y,Tech accessories - charging equipment
2024-01-03,KU XIU Aluminum Alloy Tablet Stand for Desk 360° Adjustable Foldable Arm Holder Mount,59.98,https://www.amazon.com/gp/css/summary/print.html?orderID=113-1485717-7777833,Y,Office equipment - desk accessory
2024-01-11,Quikrete Concrete Colorant Bottle Terracotta 10 oz,10.27,https://www.amazon.com/gp/css/summary/print.html?orderID=112-7515133-1469839,N,Personal - home project
2024-01-13,Korg 27-Key Sound Module (VOLCAKEYS),147.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-7645215-4295459,?,Audio equipment - confirm if business use
2024-01-14,DX-7 Synthesiser T-Shirt in 13 Colours red Large,14.48,https://www.amazon.com/gp/css/summary/print.html?orderID=112-2665046-1589030,N,Personal - clothing
2024-01-14,Bees Knees Tees DX-7 Synthesiser T-Shirt in 13 Colours Black Large,13.00,https://www.amazon.com/gp/css/summary/print.html?orderID=112-2665046-1589030,N,Personal - clothing
2024-01-15,Kicking Horse Coffee Three Sisters Medium Roast Whole Bean 10 oz,11.99,https://www.amazon.com/gp/css/summary/print.html?orderID=112-4852555-8961812,N,Personal - food/beverage
2024-01-15,SToK medium roast Liquid Cold Brew Coffee Not Too Sweet 48 oz Bottle,5.59,https://www.amazon.com/gp/css/summary/print.html?orderID=112-4852555-8961812,N,Personal - food/beverage
2024-01-15,SToK Cold Brew Coffee Extra Bold Unsweetened 48 Oz Bottle,5.99,https://www.amazon.com/gp/css/summary/print.html?orderID=112-4852555-8961812,N,Personal - food/beverage
